title,author,isbn,publicationDate,coverImageUrl,genres,sourceUrl
The Siren,Tomi Adeyemi,9781250404756,2026-09-29,https://mpd-biblio-covers.imgix.net/9781250404756.jpg,young-adult;fantasy;thriller,https://us.macmillan.com/books/9781250404756/thesiren/
Another Name for Red,Amber Blaeser-Wardzala,9780593702369,2026-10-13,https://images3.penguinrandomhouse.com/smedia/9780593702369,mystery;thriller;literary-fiction,https://www.penguinrandomhouse.com/books/797167/another-name-for-red-by-amber-blaeser-wardzala/9780593702369/
Thousands of Eyes,Maximiliano Barrientos,9781640097506,2026-10-27,https://images4.penguinrandomhouse.com/smedia/9781640097506,horror;science-fiction;dystopian,https://www.penguinrandomhouse.com/books/827738/thousands-of-eyes-by-maximiliano-barrientos/9781640097506/
The Friday Bookshop,Sawako Natori,9798217189113,2026-11-03,https://images4.penguinrandomhouse.com/smedia/9798217189113,literary-fiction;contemporary,https://www.penguinrandomhouse.com/books/806950/the-friday-bookshop-by-sawako-natori-translated-by-yui-kajita/9798217189113/
Mr. Mendlebee's Pandimensional Literary Repository (and Yarn),Rebecca McKee,9798217182268,2026-11-17,https://images1.penguinrandomhouse.com/smedia/9798217182268,fantasy;contemporary,https://www.penguinrandomhouse.com/books/816001/mr-mendlebees-pandimensional-literary-repository-and-yarn-by-rebecca-mckee/9798217182268/
Lucid Dreams,Daphne Palasi Andreades,9780593243466,2027-01-12,https://images1.penguinrandomhouse.com/smedia/9780593243466,literary-fiction;contemporary,https://www.penguinrandomhouse.com/books/676071/lucid-dreams-by-daphne-palasi-andreades/9780593243466/
The Number,Chad Millman,9798217061341,2027-01-12,https://images4.penguinrandomhouse.com/smedia/9798217061341,history;business;economics,https://www.penguinrandomhouse.com/books/804553/the-number-by-chad-millman/9798217061341/
The Messenger in White,Pico Iyer,9798217048472,2027-01-26,https://images2.penguinrandomhouse.com/smedia/9798217048472,memoir;philosophy,https://www.penguinrandomhouse.com/books/797018/the-messenger-in-white-by-pico-iyer/9798217048472/
The Call,Leila Guerriero,9798217207947,2027-02-23,https://images4.penguinrandomhouse.com/smedia/9798217207947,history;biography;politics,https://www.penguinrandomhouse.com/books/808316/the-call-by-leila-guerriero/9798217207947/
"Hello, World!",Karisa Tell,9798217181018,2027-03-23,https://images4.penguinrandomhouse.com/smedia/9798217181018,science-fiction;dystopian;literary-fiction,https://www.penguinrandomhouse.com/books/812094/hello-world-by-karisa-tell/9798217181018/
