title,author,isbn
Anna and the French Kiss,Stephanie Perkins,9780525423270
Frostbite,Richelle Mead,9781595141750
Prince Caspian,C. S. Lewis,9780007202300
A Walk in the Woods,Bill Bryson,9780307279460
The Couple Next Door,Shari Lapena,9780735221109
Never Let Me Go,Kazuo Ishiguro,9781400078776
Othello,William Shakespeare,9780743477550
"Will Grayson, Will Grayson",John Green,9780525421580
Wonder,R. J. Palacio,9780375869020
A Discovery of Witches,Deborah Harkness,9780670022410
Hatchet,Gary Paulsen,9780689840920
The Witches,Roald Dahl,9780590032490
Hotel on the Corner of Bitter and Sweet,Jamie Ford,9780345505330
The Woman in Black,Susan Hill,9781567921892
The Princess Diaries,Meg Cabot,9780061543654
Bel Canto,Ann Patchett,9780060838720
Fantastic Beasts and Where to Find Them,J. K. Rowling,9780439321600
Their Eyes Were Watching God,Zora Neale Hurston,9780061120060
The Truth About Forever,Sarah Dessen,9780142406250
Rebecca,Daphne du Maurier,9781844080380
Wizard's First Rule,Terry Goodkind,9780765346520
"Guns, Germs, and Steel",Jared Diamond,9780393354324
Fall of Giants,Ken Follett,9780525951650
The Invention of Wings,Sue Monk Kidd,9780670024780
What Alice Forgot,Liane Moriarty,9780141043760
Definitely Dead,Charlaine Harris,9780441014910
Clockwork Princess,Cassandra Clare,9781406321340
Corduroy,Don Freeman,9780670241330
The Absolutely True Diary of a Part-Time Indian,Sherman Alexie,9780316013680
The Complete Tales of Edgar Allan Poe,Edgar Allan Poe,9780385074070
Voyager,Diana Gabaldon,9780385335997
A Separate Peace,John Knowles,9780743253970
The Restaurant at the End of the Universe,Douglas Adams,9780345418920
Franny and Zooey,J. D. Salinger,9780316769020
Cloud Atlas,David Mitchell,9780375507250
Along for the Ride,Sarah Dessen,9780670011940
Unwind,Neal Shusterman,9781416912040
The True Story of the Three Little Pigs,Jon Scieszka,9780140544510
The Maze Runner,James Dashner,9780385737944
Go Set a Watchman,Harper Lee,9780062409850
Middlesex,Jeffrey Eugenides,9780312427733
The Silmarillion,J. R. R. Tolkien,9780618391110
The Summoning,Kelley Armstrong,9780061662690
The City & the City,China Mieville,9780345497512
Linger,Maggie Stiefvater,9780545123280
The Shipping News,Annie Proulx,9780671510053
Love the One You're With,Emily Giffin,9780312348670
The Constant Princess,Philippa Gregory,9780743272490
Drums of Autumn,Diana Gabaldon,9780385335980
Passion,Lauren Kate,9780385739160
Freedom,Jonathan Franzen,9780374158460
Lamb,Christopher Moore,9780380813810
The Wedding,Nicholas Sparks,9780446615860
The Westing Game,Ellen Raskin,9780142401200
A Grief Observed,C. S. Lewis,9780060652388
The Tale of Despereaux,Kate DiCamillo,9780763625290
Lonesome Dove,Larry McMurtry,9780671683900
The Queen of the Damned,Anne Rice,9780345419620
Cloudy with a Chance of Meatballs,Judi Barrett,9780689707490
Throne of Glass,Sarah J. Maas,9781619630345
Crank,Ellen Hopkins,9780689865190
Vision in White,Nora Roberts,9780425227510
The Age of Innocence,Edith Wharton,9781593081430
The Monster at the End of This Book,Jon Stone,9780375829130
The Brief Wondrous Life of Oscar Wao,Junot Diaz,9781594483295
Crossed,Ally Condie,9780142421710
Unearthly,Cynthia Hand,9780061996160
The Bonesetter's Daughter,Amy Tan,9780345457370
Anne of Avonlea,L. M. Montgomery,9780553213140
Queen of Shadows,Sarah J. Maas,9781619636040
The Blind Assassin,Margaret Atwood,9781860498800
Lover Unbound,J. R. Ward,9780451222350
The Omnivore's Dilemma,Michael Pollan,9781594200823
Dragonflight,Anne McCaffrey,9780345484260
High Five,Janet Evanovich,9780330371230
The Joy Luck Club,Amy Tan,9780143038092
The Mote in God's Eye,Larry Niven & Jerry Pournelle,9780671741921
The Girl with All the Gifts,M. R. Carey,9780356500157
Handle with Care,Jodi Picoult,9780743296410
The Ersatz Elevator,Lemony Snicket,9780060566210
Wintergirls,Laurie Halse Anderson,9780670011100
The Invisible Man,H. G. Wells,9780451528520
The Carnivorous Carnival,Lemony Snicket,9780064410120
The Host,Stephenie Meyer,9780316068055
The 5th Wave,Rick Yancey,9780399162411
Rebel Angels,Libba Bray,9780385733410
The Namesake,Jhumpa Lahiri,9780618485222
Abhorsen,Garth Nix,9780060278250
The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,9780141439730
Stones from the River,Ursula Hegi,9780684844770
Miss Nelson Is Missing!,Harry Allard,9780395401460
The Once and Future King,T. H. White,9780441627400
The Path of Daggers,Robert Jordan,9780812550290
Attachments,Rainbow Rowell,9780452297548
The Sirens of Titan,Kurt Vonnegut,9781857988840
The Alloy of Law,Brandon Sanderson,9780765330420
Bitten,Kelley Armstrong,9780452286030
Killing Lincoln,Bill O'Reilly,9780805093070
Go the Fuck to Sleep,Adam Mansbach,9781617750250
Einstein: His Life and Universe,Walter Isaacson,9780743264730
Pygmalion,George Bernard Shaw,9780486282220
2nd Chance,James Patterson,9780446696630
Those Who Save Us,Jenna Blum,9780156031660
The Lean Startup,Eric Ries,9780307887894
"Click, Clack, Moo: Cows That Type",Doreen Cronin,9780689832130
Assassin's Quest,Robin Hobb,9780553565690
Big Magic,Elizabeth Gilbert,9781594634710
Sophie's Choice,William Styron,9780679736370
Cry Wolf,Patricia Briggs,9780441016150
Winter Garden,Kristin Hannah,9780312364120
Fantastic Mr Fox,Roald Dahl,9780375822070
Death Comes to Pemberley,P. D. James,9780307959850
The Broker,John Grisham,9780385340540
At Grave's End,Jeaniene Frost,9780061583070
Death on the Nile,Agatha Christie,9780553119220
The Warded Man,Peter V. Brett,9780345503800
On the Origin of Species,Charles Darwin,9780140439120
Dreamland,Sarah Dessen,9780142401750
Dark Matter,Blake Crouch,9781101904220
The Wee Free Men,Terry Pratchett,9780060012380
My Life in France,Julia Child,9781400043460
The King of Torts,John Grisham,9780385339650
Dead Wake,Erik Larson,9780307408860
American Sniper,Chris Kyle,9780062107060
The Black Dahlia,James Ellroy,9780446698870
Crossroads of Twilight,Robert Jordan,9780312864590
Tara Road,Maeve Binchy,9780440235590
The Passage,Justin Cronin,9780345504975
What Is the What,Dave Eggers,9781932416640
Sweet Evil,Wendy Higgins,9780062085610
"Ramona Quimby, Age 8",Beverly Cleary,9780440800460
Leaves of Grass,Walt Whitman,9781416523710
Corelli's Mandolin,Louis de Bernieres,9780679763970
The Prayer of Jabez,Bruce Wilkinson,9781576737330
Tithe,Holly Black,9780689867040
Born in Fire,Nora Roberts,9780515114690
"Sex, Drugs, and Cocoa Puffs",Chuck Klosterman,9780743236010
Girls in Pants,Ann Brashares,9780553375930
The God of Small Things,Arundhati Roy,9780679457312
The Man in the Brown Suit,Agatha Christie,9780007151660
Every Which Way But Dead,Kim Harrison,9780060572990
Naked Lunch,William S. Burroughs,9780802140180
The Winter Sea,Susanna Kearsley,9781402241376
Men at Arms,Terry Pratchett,9780061092190
Flyte,Angie Sage,9780060577360
The Turn of the Screw,Henry James,9780140620610
The Assassin's Blade,Sarah J. Maas,9781408852590
Hide and Seek,Ian Rankin,9780752883540
Tikki Tikki Tembo,Arlene Mosel,9780312367480
The Immortal Rules,Julie Kagawa,9780373210510
The Boston Girl,Anita Diamant,9781439199350
A Tale for the Time Being,Ruth Ozeki,9780670026630
Dance with the Devil,Sherrilyn Kenyon,9780312984830
Dark Flame,Alyson Noel,9780312590970
The Last Lecture,Randy Pausch,9781401323257
Dance Upon the Air,Nora Roberts,9780749932770
NOS4A2,Joe Hill,9780062200570
A Connecticut Yankee in King Arthur's Court,Mark Twain,9781416534730
Gossip Girl,Cecily von Ziegesar,9780316910330
Out of the Silent Planet,C. S. Lewis,9780007157150
The Illustrated Man,Ray Bradbury,9780007127740
Heat Wave,Richard Castle,9781401323820
The Black Cauldron,Lloyd Alexander,9780805080490
He's Just Not That Into You,Greg Behrendt,9781416947400
Son of a Witch,Gregory Maguire,9780060747220
When the Bough Breaks,Jonathan Kellerman,9780345466600
Before the Fall,Noah Hawley,9781455561780
Consider Phlebas,Iain M. Banks,9781857231380
The Ocean at the End of the Lane,Neil Gaiman,9780062255662
Chain Reaction,Simone Elkeles,9780802720870
Half of a Yellow Sun,Chimamanda Ngozi Adichie,9781400044160
A Passage to India,E. M. Forster,9780141441160
The Fireman,Joe Hill,9780062200631
Travels with Charley,John Steinbeck,9780142000700
This Side of the Grave,Jeaniene Frost,9780061783180
Undead and Unwed,MaryJanice Davidson,9780425194850
The Republic of Thieves,Scott Lynch,9780553804690
The 19th Wife,David Ebershoff,9781400063970
Pyramids,Terry Pratchett,9780061020650
The Yellow Wallpaper,Charlotte Perkins Gilman,9781558611580
These Is My Words,Nancy E. Turner,9780060987510
I'm a Stranger Here Myself,Bill Bryson,9780767903820
Lightning,Dean Koontz,9780425192030
Prozac Nation,Elizabeth Wurtzel,9781573225120
Old Man's War,John Scalzi,9780765348272
Unnatural Exposure,Patricia Cornwell,9780751530490
The Pillars of Creation,Terry Goodkind,9780765340740
Succubus Blues,Richelle Mead,9780758216410
The Strain,Guillermo del Toro,9780061558245
The Amazing Adventures of Kavalier & Clay,Michael Chabon,9780312282998
All the King's Men,Robert Penn Warren,9780156004800
The Memory Keeper's Daughter,Kim Edwards,9780143037149
The Odessa File,Frederick Forsyth,9780553271980
The Iliad,Homer,9780140447941
The Aeneid,Virgil,9780140449327
The Divine Comedy,Dante Alighieri,9780142437223
Don Quixote,Miguel de Cervantes,9780060934347
Hamlet,William Shakespeare,9780743477123
Macbeth,William Shakespeare,9780743477109
Romeo and Juliet,William Shakespeare,9780743477116
King Lear,William Shakespeare,9780743482769
Paradise Lost,John Milton,9780140424393
Robinson Crusoe,Daniel Defoe,9780141439822
Gulliver's Travels,Jonathan Swift,9780141439495
Candide,Voltaire,9780140440041
Faust,Johann Wolfgang von Goethe,9780385031141
Emma,Jane Austen,9780141439587
Sense and Sensibility,Jane Austen,9780141439662
Persuasion,Jane Austen,9780141439686
Frankenstein,Mary Shelley,9780141439471
Great Expectations,Charles Dickens,9780141439563
David Copperfield,Charles Dickens,9780140439441
Bleak House,Charles Dickens,9780141439723
Oliver Twist,Charles Dickens,9780141439747
A Christmas Carol,Charles Dickens,9780141324524
Moby-Dick,Herman Melville,9780142437247
The Scarlet Letter,Nathaniel Hawthorne,9780142437261
Madame Bovary,Gustave Flaubert,9780140449129
The Brothers Karamazov,Fyodor Dostoevsky,9780374528379
The Idiot,Fyodor Dostoevsky,9780375702242
Notes from Underground,Fyodor Dostoevsky,9780679734529
War and Peace,Leo Tolstoy,9781400079988
Anna Karenina,Leo Tolstoy,9780143035008
The Death of Ivan Ilyich,Leo Tolstoy,9780307951335
Fathers and Sons,Ivan Turgenev,9780140441475
Dead Souls,Nikolai Gogol,9780679776444
Middlemarch,George Eliot,9780141439549
The Picture of Dorian Gray,Oscar Wilde,9780141439570
Dracula,Bram Stoker,9780141439846
Treasure Island,Robert Louis Stevenson,9780141321004
The Adventures of Huckleberry Finn,Mark Twain,9780142437179
The Adventures of Tom Sawyer,Mark Twain,9780143039563
The Portrait of a Lady,Henry James,9780141441269
Tess of the d'Urbervilles,Thomas Hardy,9780141439594
Heart of Darkness,Joseph Conrad,9780141441672
Lord Jim,Joseph Conrad,9780141441610
The Call of the Wild,Jack London,9780141321059
White Fang,Jack London,9780141321110
The Metamorphosis,Franz Kafka,9780553213690
The Trial,Franz Kafka,9780805209990
The Castle,Franz Kafka,9780805211061
Ulysses,James Joyce,9780679722762
Dubliners,James Joyce,9780140186475
A Portrait of the Artist as a Young Man,James Joyce,9780142437346
Mrs. Dalloway,Virginia Woolf,9780156628709
To the Lighthouse,Virginia Woolf,9780156907392
Orlando,Virginia Woolf,9780156701600
A Room of One's Own,Virginia Woolf,9780156030410
The Sun Also Rises,Ernest Hemingway,9780743297332
A Farewell to Arms,Ernest Hemingway,9781476764528
For Whom the Bell Tolls,Ernest Hemingway,9780684803357
The Sound and the Fury,William Faulkner,9780679732242
As I Lay Dying,William Faulkner,9780679732259
Light in August,William Faulkner,9780679732266
The Grapes of Wrath,John Steinbeck,9780143039433
East of Eden,John Steinbeck,9780140186390
Cannery Row,John Steinbeck,9780140187373
The Pearl,John Steinbeck,9780140177374
The Stranger,Albert Camus,9780679720201
The Plague,Albert Camus,9780679720218
The Myth of Sisyphus,Albert Camus,9780679733737
Nausea,Jean-Paul Sartre,9780811220309
No Exit,Jean-Paul Sartre,9780679725169
Lolita,Vladimir Nabokov,9780679723165
Pale Fire,Vladimir Nabokov,9780679723424
Things Fall Apart,Chinua Achebe,9780385474542
Invisible Man,Ralph Ellison,9780679732761
Native Son,Richard Wright,9780060837563
Go Tell It on the Mountain,James Baldwin,9780345806543
Giovanni's Room,James Baldwin,9780345806567
The Fire Next Time,James Baldwin,9780679744726
Slaughterhouse-Five,Kurt Vonnegut,9780385333849
Cat's Cradle,Kurt Vonnegut,9780385333481
Catch-22,Joseph Heller,9781451626650
The Catcher in the Rye,J.D. Salinger,9780316769488
Nine Stories,J.D. Salinger,9780316769501
On the Road,Jack Kerouac,9780140283297
The Bell Jar,Sylvia Plath,9780060837020
Lord of the Flies,William Golding,9780399501487
One Flew Over the Cuckoo's Nest,Ken Kesey,9780451163967
A Clockwork Orange,Anthony Burgess,9780393312836
The Unbearable Lightness of Being,Milan Kundera,9780060932138
If on a winter's night a traveler,Italo Calvino,9780156439619
Invisible Cities,Italo Calvino,9780156453806
Ficciones,Jorge Luis Borges,9780802130303
The Aleph,Jorge Luis Borges,9780142437889
Love in the Time of Cholera,Gabriel García Márquez,9780307389732
Song of Solomon,Toni Morrison,9781400033423
The Bluest Eye,Toni Morrison,9780307278449
Sula,Toni Morrison,9781400033430
Midnight's Children,Salman Rushdie,9780812976533
The Satanic Verses,Salman Rushdie,9780812976717
The Color Purple,Alice Walker,9780156028356
The Secret History,Donna Tartt,9781400031702
The Goldfinch,Donna Tartt,9780316055444
The Little Friend,Donna Tartt,9781400031696
The Remains of the Day,Kazuo Ishiguro,9780679731726
Klara and the Sun,Kazuo Ishiguro,9780593318171
Rules of Civility,Amor Towles,9780143121169
The Lincoln Highway,Amor Towles,9780735222359
A Man Called Ove,Fredrik Backman,9781476738024
Anxious People,Fredrik Backman,9781501160844
Beartown,Fredrik Backman,9781501160776
Station Eleven,Emily St. John Mandel,9780804172448
Sea of Tranquility,Emily St. John Mandel,9780593321447
The Underground Railroad,Colson Whitehead,9780385542364
The Nickel Boys,Colson Whitehead,9780385537070
White Teeth,Zadie Smith,9780375703867
On Beauty,Zadie Smith,9780143037743
Americanah,Chimamanda Ngozi Adichie,9780307455925
Interpreter of Maladies,Jhumpa Lahiri,9780395927205
The Kite Runner,Khaled Hosseini,9781594631931
A Thousand Splendid Suns,Khaled Hosseini,9781594489501
My Brilliant Friend,Elena Ferrante,9781609450786
Norwegian Wood,Haruki Murakami,9780375704024
Kafka on the Shore,Haruki Murakami,9781400079278
The Wind-Up Bird Chronicle,Haruki Murakami,9780679775430
1Q84,Haruki Murakami,9780307593313
All the Light We Cannot See,Anthony Doerr,9781476746586
Cloud Cuckoo Land,Anthony Doerr,9781982168438
The Overstory,Richard Powers,9780393635522
Demon Copperhead,Barbara Kingsolver,9780063251922
The Poisonwood Bible,Barbara Kingsolver,9780060786502
"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,9780593321201
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,9781501161933
Daisy Jones & The Six,Taylor Jenkins Reid,9781524798628
Conversations with Friends,Sally Rooney,9780451499059
"Beautiful World, Where Are You",Sally Rooney,9780374602604
A Little Life,Hanya Yanagihara,9780804172707
The Corrections,Jonathan Franzen,9780312421274
Lincoln in the Bardo,George Saunders,9780812995343
Pachinko,Min Jin Lee,9781455563937
Shuggie Bain,Douglas Stuart,9780802148049
Foundation,Isaac Asimov,9780553293357
Foundation and Empire,Isaac Asimov,9780553293371
Second Foundation,Isaac Asimov,9780553293364
"I, Robot",Isaac Asimov,9780553382563
2001: A Space Odyssey,Arthur C. Clarke,9780451457998
Rendezvous with Rama,Arthur C. Clarke,9780553287899
Childhood's End,Arthur C. Clarke,9780345347954
Stranger in a Strange Land,Robert A. Heinlein,9780441788385
Starship Troopers,Robert A. Heinlein,9780441783588
Do Androids Dream of Electric Sheep?,Philip K. Dick,9780345404473
The Man in the High Castle,Philip K. Dick,9780547572482
Ubik,Philip K. Dick,9780547572291
Children of Dune,Frank Herbert,9780441104024
Count Zero,William Gibson,9780441013678
Mona Lisa Overdrive,William Gibson,9780553281743
Snow Crash,Neal Stephenson,9780553380958
The Diamond Age,Neal Stephenson,9780553380965
Cryptonomicon,Neal Stephenson,9780060512804
Anathem,Neal Stephenson,9780061474095
The Left Hand of Darkness,Ursula K. Le Guin,9780441478125
The Dispossessed,Ursula K. Le Guin,9780060512750
Speaker for the Dead,Orson Scott Card,9780812550757
Xenocide,Orson Scott Card,9780812509250
The Three-Body Problem,Cixin Liu,9780765382030
The Dark Forest,Cixin Liu,9780765386694
Death's End,Cixin Liu,9780765386632
The Martian,Andy Weir,9780553418026
Project Hail Mary,Andy Weir,9780593135204
Stories of Your Life and Others,Ted Chiang,9781101972120
Exhalation,Ted Chiang,9781101972083
Redshirts,John Scalzi,9780765334794
Leviathan Wakes,James S.A. Corey,9780316129084
Caliban's War,James S.A. Corey,9780316129060
Abaddon's Gate,James S.A. Corey,9780316129077
Hyperion,Dan Simmons,9780553283686
The Fall of Hyperion,Dan Simmons,9780553288209
Kindred,Octavia E. Butler,9780807083697
Parable of the Sower,Octavia E. Butler,9780446675505
Dawn,Octavia E. Butler,9780446603775
The Player of Games,Iain M. Banks,9780316005401
All Systems Red,Martha Wells,9780765397539
Artificial Condition,Martha Wells,9781250186928
Red Mars,Kim Stanley Robinson,9780553560732
Green Mars,Kim Stanley Robinson,9780553572391
Blue Mars,Kim Stanley Robinson,9780553573350
The Ministry for the Future,Kim Stanley Robinson,9780316300148
The Forever War,Joe Haldeman,9780312536633
A Canticle for Leibowitz,Walter M. Miller Jr.,9780060892999
Solaris,Stanislaw Lem,9780156027601
Ancillary Justice,Ann Leckie,9780316246620
A Deepness in the Sky,Vernor Vinge,9780812536355
Children of Time,Adrian Tchaikovsky,9780316452502
Blindsight,Peter Watts,9780765319647
The Fellowship of the Ring,J.R.R. Tolkien,9780547928210
The Two Towers,J.R.R. Tolkien,9780547928203
The Return of the King,J.R.R. Tolkien,9780547928197
A Game of Thrones,George R.R. Martin,9780553573404
A Clash of Kings,George R.R. Martin,9780553579901
A Storm of Swords,George R.R. Martin,9780553573428
A Feast for Crows,George R.R. Martin,9780553582024
A Dance with Dragons,George R.R. Martin,9780553582017
Fire & Blood,George R.R. Martin,9781524796280
The Eye of the World,Robert Jordan,9780812511819
The Great Hunt,Robert Jordan,9780812517729
The Dragon Reborn,Robert Jordan,9780812513714
The Shadow Rising,Robert Jordan,9780812513738
The Final Empire,Brandon Sanderson,9780765350381
The Well of Ascension,Brandon Sanderson,9780765356130
The Hero of Ages,Brandon Sanderson,9780765356147
The Way of Kings,Brandon Sanderson,9780765365279
Words of Radiance,Brandon Sanderson,9780765365286
Oathbringer,Brandon Sanderson,9780765365293
Rhythm of War,Brandon Sanderson,9780765326386
Elantris,Brandon Sanderson,9780765350374
Warbreaker,Brandon Sanderson,9780765360038
The Name of the Wind,Patrick Rothfuss,9780756404741
The Wise Man's Fear,Patrick Rothfuss,9780756407919
A Wizard of Earthsea,Ursula K. Le Guin,9780547773742
American Gods,Neil Gaiman,9780060558123
Good Omens,Neil Gaiman and Terry Pratchett,9780060853983
The Color of Magic,Terry Pratchett,9780062225672
Mort,Terry Pratchett,9780062225719
Guards! Guards!,Terry Pratchett,9780062225757
Small Gods,Terry Pratchett,9780062237378
Assassin's Apprentice,Robin Hobb,9780553573398
Royal Assassin,Robin Hobb,9780553573411
The Blade Itself,Joe Abercrombie,9780316387316
Best Served Cold,Joe Abercrombie,9780316198356
The Lies of Locke Lamora,Scott Lynch,9780553588941
Red Seas Under Red Skies,Scott Lynch,9780553588958
Gardens of the Moon,Steven Erikson,9780765348784
Deadhouse Gates,Steven Erikson,9780765348791
The Fifth Season,N.K. Jemisin,9780316229296
The Obelisk Gate,N.K. Jemisin,9780316229265
The Stone Sky,N.K. Jemisin,9780316229241
Jonathan Strange & Mr Norrell,Susanna Clarke,9781582346038
Piranesi,Susanna Clarke,9781635575637
The Poppy War,R.F. Kuang,9780062662569
The Dragon Republic,R.F. Kuang,9780062662637
Babel,R.F. Kuang,9780063021426
Spinning Silver,Naomi Novik,9780399180989
A Darker Shade of Magic,V.E. Schwab,9780765376459
The Invisible Life of Addie LaRue,V.E. Schwab,9780765387561
The Priory of the Orange Tree,Samantha Shannon,9781635570298
The Murder of Roger Ackroyd,Agatha Christie,9780062073563
Murder on the Orient Express,Agatha Christie,9780062073495
A Study in Scarlet,Arthur Conan Doyle,9780140439083
Gone Girl,Gillian Flynn,9780307588371
Sharp Objects,Gillian Flynn,9780307341556
Dark Places,Gillian Flynn,9780307341570
The Girl with the Dragon Tattoo,Stieg Larsson,9780307949486
The Girl Who Played with Fire,Stieg Larsson,9780307476159
The Silence of the Lambs,Thomas Harris,9780312924584
Red Dragon,Thomas Harris,9780425228227
The Big Sleep,Raymond Chandler,9780394758282
The Long Goodbye,Raymond Chandler,9780394757681
The Maltese Falcon,Dashiell Hammett,9780679722649
The Thin Man,Dashiell Hammett,9780679722632
The Talented Mr. Ripley,Patricia Highsmith,9780393332148
The Spy Who Came in from the Cold,John le Carré,9780143124757
Tinker Tailor Soldier Spy,John le Carré,9780143120933
The Constant Gardener,John le Carré,9780743287203
The Firm,John Grisham,9780440245926
A Time to Kill,John Grisham,9780440245919
The Pelican Brief,John Grisham,9780440245933
Killing Floor,Lee Child,9780515153651
Die Trying,Lee Child,9780515142242
The Lincoln Lawyer,Michael Connelly,9780446616454
Blood Work,Michael Connelly,9780446602624
In the Woods,Tana French,9780143113492
The Likeness,Tana French,9780143115625
Faithful Place,Tana French,9780143119494
The Woman in Cabin 10,Ruth Ware,9781501132957
"In a Dark, Dark Wood",Ruth Ware,9781501112331
The Turn of the Key,Ruth Ware,9781501188787
The Guest List,Lucy Foley,9780062868930
The Hunting Party,Lucy Foley,9780062868916
The Thursday Murder Club,Richard Osman,9781984880987
The Man Who Died Twice,Richard Osman,9781984880994
The Girl on the Train,Paula Hawkins,9781594634024
Magpie Murders,Anthony Horowitz,9780062645234
Presumed Innocent,Scott Turow,9780446359863
Mystic River,Dennis Lehane,9780062068408
Shutter Island,Dennis Lehane,9780061898815
The Day of the Jackal,Frederick Forsyth,9780451239372
It,Stephen King,9781501142970
Carrie,Stephen King,9780307743664
Misery,Stephen King,9781501156748
Pet Sematary,Stephen King,9781501156700
The Stand,Stephen King,9780307743688
Salem's Lot,Stephen King,9780307743671
Doctor Sleep,Stephen King,9781451698855
The Haunting of Hill House,Shirley Jackson,9780143039983
Interview with the Vampire,Anne Rice,9780345337665
The Vampire Lestat,Anne Rice,9780345313867
At the Mountains of Madness,H.P. Lovecraft,9780812974416
The Call of Cthulhu and Other Weird Stories,H.P. Lovecraft,9780141182346
I Am Legend,Richard Matheson,9780765318749
The Exorcist,William Peter Blatty,9780061007224
The Stepford Wives,Ira Levin,9780060080846
Something Wicked This Way Comes,Ray Bradbury,9780380729401
Bird Box,Josh Malerman,9780062259660
A Head Full of Ghosts,Paul Tremblay,9780062363251
The Cabin at the End of the World,Paul Tremblay,9780062679116
Heart-Shaped Box,Joe Hill,9780061147937
Horns,Joe Hill,9780061147968
Let the Right One In,John Ajvide Lindqvist,9780312355296
House of Leaves,Mark Z. Danielewski,9780375703768
The Pillars of the Earth,Ken Follett,9780451166890
World Without End,Ken Follett,9780451228376
A Column of Fire,Ken Follett,9780525954972
Wolf Hall,Hilary Mantel,9780312429980
Bring Up the Bodies,Hilary Mantel,9781250024176
"I, Claudius",Robert Graves,9780679724773
Shogun,James Clavell,9780440178002
Tai-Pan,James Clavell,9780440184621
Gates of Fire,Steven Pressfield,9780553580532
Master and Commander,Patrick O'Brian,9780393307054
Post Captain,Patrick O'Brian,9780393307061
The Nightingale,Kristin Hannah,9781250080400
The Four Winds,Kristin Hannah,9781250178602
The Book Thief,Markus Zusak,9780375842207
The Last Kingdom,Bernard Cornwell,9780060887186
The Name of the Rose,Umberto Eco,9780544176560
Foucault's Pendulum,Umberto Eco,9780156032971
Sarum,Edward Rutherfurd,9780449000724
London,Edward Rutherfurd,9780449002636
The Persian Boy,Mary Renault,9780394751016
The King Must Die,Mary Renault,9780394751047
All Quiet on the Western Front,Erich Maria Remarque,9780449213940
Doctor Zhivago,Boris Pasternak,9780307390950
The English Patient,Michael Ondaatje,9780679745204
Beach Read,Emily Henry,9781984806734
People We Meet on Vacation,Emily Henry,9781984806758
Book Lovers,Emily Henry,9780593440872
Happy Place,Emily Henry,9780593441275
It Ends with Us,Colleen Hoover,9781501110368
It Starts with Us,Colleen Hoover,9781668001226
Verity,Colleen Hoover,9781538724736
One Last Stop,Casey McQuiston,9781250244499
The Love Hypothesis,Ali Hazelwood,9780593336823
Love on the Brain,Ali Hazelwood,9780593336847
Outlander,Diana Gabaldon,9780440212560
